Bulan;CurahHujan
Januari;166.5
Februari;299.9
Maret;236.1
April;108.7
Mei;321.6
Juni;403.3
Juli;529.4
Agustus;653
September;460
Oktober;230.8
November;231.3
Desember;186.3
