Bulan;CurahHujan
Januari;280.8
Februari;34
Maret;228.2
April;399.8
Mei;402.4
Juni;634.9
Juli;218.7
Agustus;1030.1
September;204.5
Oktober;449.1
November;299.9
Desember;359.7
