Bulan;CurahHujan
Januari;373.7
Februari;176.4
Maret;233.1
April;124
Mei;230.3
Juni;453.8
Juli;322.5
Agustus;463.2
September;559.2
Oktober;183.9
November;287
Desember;337.8
